,Number of Topics,all-mpnet-base-v2,stsb-roberta-large,bert-based-nli-mean-tokens,all-distilroberta-v1,all-miniLM-L6-v2
0,10,0.96,0.9,0.93,0.92,0.88
1,20,0.83,0.84,0.86,0.87,0.92
2,30,0.865,0.853,0.876,0.806,0.82
3,50,0.69,0.632,0.688,0.72,0.73
4,100,0.585,0.547,0.525,0.548,0.56
